Vintage,Country,County,Designation,Points,Price,Province,Winery
2014,France,Gevrey Chambertin,Aux Combottes Premier Cru,94,115 ,Burgundy,Nicolas Potel
2014,France,Côtes de Gascogne,4 Cépages,86,12 ,Southwest France,Domaine du Rey
2014,France,Côtes de Gascogne,Côté,88,16 ,Southwest France,Domaine du Tariquet
2014,France,Côtes de Provence,Rose et Or,92,45 ,Provence,Château Minuty
2014,France,Alsace,Tradition,86,18 ,Alsace,Domaine Moltès
2014,France,Vouvray,Sec,88,17 ,Loire Valley,Château Moncontour
2014,Italy,Valdobbiadene Prosecco Superiore,Tre Venti Rive di Ogliano Brut,88,25 ,Northeastern Italy,Zardetto
2014,France,Alsace,Hengst Grand Cru,94,48 ,Alsace,Domaine Barmès Buecher
2014,France,Moulin à Vent,Les Michelons,87,25 ,Beaujolais,Yohan Lardy
2014,France,Côtes du Rhône,Réserve Grand Veneur,87,15 ,Rhône Valley,Alain Jaume et Fils
2014,France,Chablis,La Sereine,89,24 ,Burgundy,La Chablisienne
2014,France,Côtes de Bordeaux,Sixième Géneration,90,15 ,Bordeaux,Château de Cranne
2014,Italy,Rosso di Montepulciano,Poggio Stella,87,17 ,Central Italy,Vecchia Cantina di Montepulciano
2014,France,Chinon,Angelliaume Domaine des Falaises,85,20 ,Loire Valley,Nicolas Idiart
2014,France,Pouilly Fumé,Les Duchesses,88,28 ,Loire Valley,Domaine Laporte
2014,France,Sancerre,Beau Roy,86,15 ,Loire Valley,Domaine Reverdy Ducroux
2014,France,Bordeaux,Grande Réserve,87,17 ,Bordeaux,Château le Breton
2014,France,Alsace,Tradition,88,25 ,Alsace,Emile Beyer
,,,,,,,
2014,France,Alsace,Cuvée du Commandeur,86,24 ,Alsace,Robert Karcher et Fils
2014,France,Bordeaux Rosé,Le Rosé de Floridène,83,15 ,Bordeaux,Clos Floridène
2014,France,Reuilly,Petit Gris,85,20 ,Loire Valley,Domaine Dyckerhoff
2014,France,Moulin à Vent,Les Michelons,87,25 ,Beaujolais,Yohan Lardy
2014,Italy,Rosso di Montalcino,Molino del Piano,86,26 ,Central Italy,Bonacchi
2014,France,Côtes de Provence,Arbaude,87,15 ,Provence,Mas de Cadenet
2014,France,Côtes de Provence,Pierre & Paul,88,10 ,Provence,Domaines Pierre Chavin
2014,France,Alsace,Réserve,89,14 ,Alsace,Lucien Albrecht
2014,Italy,Colline Novaresi,Bocciolo,84,17 ,Northwestern Italy,Ca  Nova
2014,Italy,Barbera d Asti Superiore,Le Muccie,86,13 ,Northwestern Italy,Ca  de Lion Ghione
2014,France,Alsace,Steinert Grand Cru,89,32 ,Alsace,Domaine Rieflé Landmann
2015,France,Collines Rhôdaniennes,Nobles Rives,88,12 ,Rhône Valley,Cave de Tain
2015,France,Fronton,On l appelle,87,15 ,Southwest France,Château Coutinel
2015,France,Moulin à Vent,Collection,84,22 ,Beaujolais,L. Tramier & Fils
2015,France,Alsace,Furstentum Grand Cru,92,27 ,Alsace,Joseph Fritsch
2015,France,Alsace,Collection,89,20 ,Alsace,Cave de Ribeauvillé
2015,France,Bordeaux,Château de Beauregard Ducourt,88,12 ,Bordeaux,VIgnobles Ducourt
2015,France,Côtes de Bergerac,La Fleur Lily Semi Dry,85,12 ,Southwest France,Domaine de Grange Neuve
2015,France,Menetou Salon,Les Demoiselles,88,25 ,Loire Valley,Domaine Benoît & Mathieu Fleuriet
2015,France,Sancerre,L Original,92,80 ,Loire Valley,Joseph Mellot
2015,France,Gaillac,Les Gourmands Rouge,87,19 ,Southwest France,L Enclos des Braves
2015,France,Mercurey,Château de Chamirey Les Cinq Premier Cru,94,90 ,Burgundy,Domaines Devillard
