Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/2009;France;Cahors;D (RÇ);91;$20.00;Southwest France;Lannac Saint-Jean 2009 D (RÇ) Malbec (Cahors);Malbec;Lannac Saint-Jean
01/01/2009;Italy;Montepulciano d'Abruzzo;Riserva Cagiïlo;84;$37.00;Central Italy;Cantina Tollo 2009 Riserva Cagiïlo (Montepulciano d'Abruzzo);Montepulciano;Cantina Tollo
01/01/2009;France;Cìtes du Rhìne;CuvÇe Shyrus;91;$24.00;Rhìne Valley;Domaine Fond Croze 2009 CuvÇe Shyrus Syrah (Cìtes du Rhìne);Syrah;Domaine Fond Croze
01/01/2009;Italy;Sicilia;Terrale Oro;83;$10.00;Sicily & Sardinia;Calatrasi 2009 Terrale Oro Nero d'Avola (Sicilia);Nero d'Avola;Calatrasi
01/01/2009;France;Cornas;Coteaux;89;$58.00;Rhìne Valley;Tardieu-Laurent 2009 Coteaux (Cornas);Syrah;Tardieu-Laurent
01/01/2009;Italy;Venezia Giulia;Braide Alte;90;$45.00;Northeastern Italy;Livon 2009 Braide Alte White (Venezia Giulia);White Blend;Livon
01/01/2009;Italy;Vino Nobile di Montepulciano;Riserva;94;$54.00;Tuscany;Contucci 2009 Riserva (Vino Nobile di Montepulciano);Red Blend;Contucci
01/01/2009;France;Vacqueyras;Les Christins;91;$31.00;Rhìne Valley;Perrin & Fils 2009 Les Christins Red (Vacqueyras);Rhìne-style Red Blend;Perrin & Fils
01/01/2009;Italy;Colli Piacentini;On attend les Invites;84;$20.00;Central Italy;Luretta 2009 On attend les Invites Pinot Nero (Colli Piacentini);Pinot Nero;Luretta
01/01/2009;Italy;Friuli Isonzo;Flors di Uis;92;$39.00;Northeastern Italy;Vie di Romans 2009 Flors di Uis White (Friuli Isonzo);White Blend;Vie di Romans
01/01/2009;Italy;Colli Orientali del Friuli;Eclisse;90;$29.00;Northeastern Italy;La Roncaia 2009 Eclisse White (Colli Orientali del Friuli);White Blend;La Roncaia
01/01/2009;Italy;Chianti Classico;Fonterutoli;90;$28.00;Tuscany;Mazzei 2009 Fonterutoli (Chianti Classico);Sangiovese;Mazzei
01/01/2009;France;Alsace;RÇserve;87;$22.00;Alsace;Lucien Albrecht 2009 RÇserve Gewurztraminer (Alsace);GewÅrztraminer;Lucien Albrecht
01/01/2009;Italy;Barolo;Riserva;85;$102.00;Piedmont;Marchesi di Barolo 2009 Riserva (Barolo);Nebbiolo;Marchesi di Barolo
01/01/2009;Italy;Barolo;Bricco Sarmassa;92;$70.00;Piedmont;Brezza 2009 Bricco Sarmassa (Barolo);Nebbiolo;Brezza
01/01/2009;Italy;Valpolicella Classico Superiore Ripasso;Pa' Riondo;90;$26.00;Veneto;Brunelli 2009 Pa' Riondo (Valpolicella Classico Superiore Ripasso);Corvina, Rondinella, Molinara;Brunelli
01/01/2009;Italy;Puglia;Kebir;86;$25.00;Southern Italy;Torrevento 2009 Kebir Red (Puglia);Red Blend;Torrevento
01/01/2009;France;EchÇzeaux;EchÇzeaux;95;$370.00;Burgundy;Domaine Jacques Prieur 2009 EchÇzeaux (EchÇzeaux);Pinot Noir;Domaine Jacques Prieur
01/01/2009;Italy;Salento;Codici;85;$11.00;Southern Italy;Mondo del Vino 2009 Codici Primitivo (Salento);Primitivo;Mondo del Vino
01/01/2009;Italy;Soave Classico;Monte Alto;87;$39.00;Veneto;Ca' Rugate 2009 Monte Alto (Soave Classico);Garganega;Ca' Rugate
01/01/2009;France;Beaujolais;CuvÇe Terroir;86;$15.00;Beaujolais;Domaine Pral 2009 CuvÇe Terroir (Beaujolais);Gamay;Domaine Pral
01/01/2009;Italy;Colli Orientali del Friuli;Biancosesto;90;$25.00;Northeastern Italy;La Tunella 2009 Biancosesto White (Colli Orientali del Friuli);White Blend;La Tunella
01/01/2009;France;Sainte-Foy Bordeaux;Triple A;87;$59.00;Bordeaux;ChÉteau l'Enclos 2009 Triple A (Sainte-Foy Bordeaux);Bordeaux-style Red Blend;ChÉteau l'Enclos
01/01/2009;Italy;Umbria;Foresco;87;$18.00;Central Italy;Barberani 2009 Foresco Red (Umbria);Red Blend;Barberani
01/01/2009;France;Alsace;RÇserve;86;$24.00;Alsace;Gustave Lorentz 2009 RÇserve Gewurztraminer (Alsace);GewÅrztraminer;Gustave Lorentz
01/01/2009;France;Beaune;Clos des Mouches Premier Cru;92;$112.00;Burgundy;Chanson Päre et Fils 2009 Clos des Mouches Premier Cru (Beaune);Pinot Noir;Chanson Päre et Fils
01/01/2009;Italy;Toscana;Regina di Renieri;92;$30.00;Tuscany;Renieri 2009 Regina di Renieri Syrah (Toscana);Syrah;Renieri
01/01/2009;Italy;Amarone della Valpolicella;Zovo;85;$47.00;Veneto;Zanoni 2009 Zovo (Amarone della Valpolicella);Red Blend;Zanoni
01/01/2009;France;Bordeaux SupÇrieur;RÇserve du ChÉteau;87;$17.00;Bordeaux;ChÉteau Pey la Tour 2009 RÇserve du ChÉteau (Bordeaux SupÇrieur);Bordeaux-style Red Blend;ChÉteau Pey la Tour
01/01/2009;Italy;Amarone della Valpolicella;Monte Ca' Bianca;90;$78.00;Veneto;Begali 2009 Monte Ca' Bianca (Amarone della Valpolicella);Red Blend;Begali
